id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50738544,"University 1BR w/ W/D, Roof, next to U of D",107434423,Blueground,,University Park,39.6792138,-104.9569332,Entire home/apt,111,31,1,2022-06-26,0.16,243,261,1,
50738703,"Berkeley 1BR w/ Gym, W/D nr Tennyson shops & bars",107434423,Blueground,,Berkeley,39.7708317,-105.0443717,Entire home/apt,118,31,1,2022-11-13,0.61,243,315,1,
50248615,☞ 360° RoofTop Views I ☆☆☆☆☆ Location I ♡ of RiNo,2619306,Zack,,Five Points,39.76052,-104.97909,Entire home/apt,202,1,109,2022-12-28,5.91,52,79,84,2021-BFN-0002250
50848389,New! Garden-level apartment in Highlands,26963067,Chandler,,Highland,39.76417,-105.01563,Entire home/apt,155,1,27,2022-12-16,5.66,1,172,27,2021-BFN-0005720
50255302,Landing | Modern Apartment with Amazing Amenities (ID5550),263502162,Landing,,Baker,39.70827,-104.99232,Entire home/apt,97,30,1,2022-08-02,0.20,76,0,1,
50851260,2 bedroom townhome w fire place & rooftop deck.,4882600,Jordan,,Jefferson Park,39.75041,-105.02269,Entire home/apt,415,2,31,2022-11-21,1.93,1,265,22,2021-BFN-0005140
50870156,Peaceful Garden Level Apartment - Dog Friendly!,34955862,Scott,,Platt Park,39.69497,-104.9861,Entire home/apt,83,3,41,2022-12-11,2.31,44,364,26,2017-BFN-0005423
50741421,Zen Oasis in Denver's Top Location,23185423,Holly,,Union Station,39.75369,-105.00159,Entire home/apt,86,30,3,2022-09-18,0.19,2,184,2,
50265047,Grand Turret @ Race St. Keep “monthly rental”,12333471,Ed,,City Park West,39.74163,-104.96418,Private room,80,29,10,2021-11-28,0.56,5,89,0,2022-BFN-0015481
50267243,Sunrise Villa at Race St Keep Guest House,12333471,Ed,,City Park West,39.74245,-104.96219,Private room,139,3,11,2022-09-23,0.61,5,89,1,2022-BFN-0015481
50268767,Private Suite close to DT Denver,118575365,Matt,,Virginia Village,39.68448,-104.93657,Private room,65,4,25,2022-12-11,1.38,2,62,20,2021-BFN-0004523
50269671,Mojave Lifestyle Modern Studio | Espadín LoHi,401251189,Espadín,,Highland,39.75811,-105.017746,Entire home/apt,99,1,39,2022-10-28,2.11,44,249,21,2021-BFN-0001467
50269672,Art-Inspired Modern Living | Balcony | EspadínLoHi,401251189,Espadín,,Highland,39.75811,-105.017746,Entire home/apt,99,1,29,2022-10-10,1.56,44,247,16,2021-BFN-0001467
50269673,Classic Contemporary Lifestyle Loft | Espadín LoHi,401251189,Espadín,,Highland,39.758209,-105.015556,Entire home/apt,145,1,53,2022-10-23,2.88,44,264,33,2021-BFN-0001467
50269674,Mile High Muse Lifestyle Loft | Espadín LoHi,401251189,Espadín,,Highland,39.75811,-105.017746,Entire home/apt,145,1,46,2022-12-13,2.50,44,259,35,2021-BFN-0001467
50269677,Mod Minimalism Meets Japandi Style| Espadín LoHi,401251189,Espadín,,Highland,39.75811,-105.017746,Entire home/apt,99,1,46,2022-12-26,2.43,44,263,34,2021-BFN-0001467
50269679,Natural Influence | Modern Living | Espadín LoHi,401251189,Espadín,,Highland,39.75811,-105.017746,Entire home/apt,99,1,49,2022-11-01,2.89,44,260,31,2021-BFN-0001467
50269684,Modern Contemporary Glam | WFH Desk | Espadín LoHi,401251189,Espadín,,Highland,39.75819,-105.015533,Entire home/apt,145,1,35,2022-11-26,1.89,44,245,23,2021-BFN-0001467
50269689,In the Mood | Curated Modern Living | Espadín LoHi,401251189,Espadín,,Highland,39.758163,-105.015427,Entire home/apt,99,1,48,2022-12-07,2.66,44,259,36,2021-BFN-0001467
50749224,MICRO-studio w/ shared rooftop access,62305383,Bret,,West Colfax,39.74204,-105.03553,Entire home/apt,80,2,31,2022-09-17,1.71,3,10,16,2018-BFN-0002424
50756816,Cute 4 br home in Hilltop neighborhood in Denver,18079488,Libby,,Hale,39.72719,-104.9289,Entire home/apt,350,30,0,,,1,0,0,
50875521,Earth-Chic | Modern Lifestyle Loft | Espadín LoHi,401251189,Espadín,,Highland,39.757935,-105.01548,Entire home/apt,99,1,51,2022-12-13,2.88,44,257,30,2021-BFN-0001467
50875523,Estudio Tranquilo Modern Loft | Espadín LoHi,401251189,Espadín,,Highland,39.757935,-105.01548,Entire home/apt,99,1,64,2022-12-10,3.69,44,262,57,2021-BFN-0001467
50886631,Easy-Going Bungalow | Great Backyard | Light Rail,411440683,Chloe,,University Hills,39.66228,-104.92582,Entire home/apt,127,2,39,2022-11-28,2.23,1,30,23,2021-BFN-0004356
50894565,Luxury Cherry Creek Condo!,52639692,Rachel,,Cherry Creek,39.71282,-104.94098,Entire home/apt,85,30,1,2022-10-23,0.43,7,213,1,
50270167,LoHi Clubhouse | Cityscape Panorama | Espadín LoHi,401251189,Espadín,,Highland,39.758202,-105.015572,Entire home/apt,195,1,56,2022-12-12,3.04,44,260,35,2021-BFN-0001467
50768373,Delightful one bedroom condo in the heart of SoBo.,179191292,Jeff,,Overland,39.682308,-104.989761,Entire home/apt,78,30,5,2022-11-22,0.34,3,254,3,
50770834,Private 1BR Apartment - 1 Block from Wash Park!,96202316,James,,Washington Park,39.70982,-104.96747,Entire home/apt,145,2,38,2022-11-29,2.17,1,124,26,2021-BFN-0005157
50895274,2 Bed Private Basement Suite: Central Location!,411518725,Alex,,Barnum West,39.71941,-105.05005,Entire home/apt,79,1,67,2022-12-20,3.84,1,170,44,2021-BFN-0004869
50271561,Charming Victorian in Denver Highlands w/ Hot Tub,17259435,Seth,,West Highland,39.7588,-105.02787,Entire home/apt,150,1,5,2022-12-29,5,1,27,5,2022-BFN-0016860
50900979,Modern Studio in the HEART of RiNo with Hot Tub,105495522,Jason,,Five Points,39.75569,-104.98718,Entire home/apt,112,2,116,2022-12-24,6.81,2,328,71,2022-BFN-0000244
50911112,Sophisticated 2 bed/2 bath condo in South Broadway,179191292,Jeff,,Overland,39.68301,-104.99085,Entire home/apt,100,29,9,2022-11-12,0.59,3,223,7,
50915504,A Modern Point of View | Luxe Loft | Espadín LoHi,401251189,Espadín,,Highland,39.757935,-105.01548,Entire home/apt,99,1,35,2022-12-06,2.04,44,251,20,2021-BFN-0001467
50777879,Modern Town Home in Santa Fe District,25002102,Nichole,,Lincoln Park,39.72753,-104.99819,Entire home/apt,300,2,7,2022-08-29,0.42,1,0,3,2021-BFN-0005349
50275671,"3 Story Condo at Sloan’s Lake, in Downtown Denver",350239504,Nick,,West Colfax,39.73684,-105.05285,Entire home/apt,285,2,17,2022-09-04,1.06,1,110,10,2021-BFN-0006653
50920229,Basement unit with King bed and in unit laundry,392360868,Lincolnwood,,Capitol Hill,39.73491,-104.9757,Entire home/apt,85,30,5,2022-11-24,0.30,14,59,2,
50286858,Stylish Denver Home w/ Yard - Walk Everywhere!,5679945,Pauline Heidy,,West Highland,39.768501,-105.043167,Entire home/apt,240,2,31,2022-11-28,1.73,2,40,14,2021-BFN-0003634
50935273,DOWNTOWN LIVING CONDO GREAT VIEW AND LOCATION!,5216325,Julia,,CBD,39.74528,-104.99746,Entire home/apt,109,29,0,,,8,333,0,
50779161,"cheerful, spacious private room and welcoming home",391310098,Betelhem,,Gateway - Green Valley Ranch,39.7967,-104.75427,Private room,60,29,18,2021-11-26,1.08,1,0,0,2021-BFN-0006104
50291275,420 friendly Rainbow room with attached bathroom,68217974,Tobi,,Regis,39.79039,-105.04448,Private room,110,1,16,2022-09-05,2.10,3,0,16,2017-BFN-0006257
50935928,The MileHigh Rooftop | Stunning Views & Location,82329780,Albert,,Sloan Lake,39.74762,-105.0264,Entire home/apt,315,2,68,2022-12-12,3.84,4,341,46,2021-BFN-0002386
50291676,Victorian Guest Suite in the Denver Highlands,129740790,Geneva,,West Highland,39.75922,-105.03471,Entire home/apt,123,1,72,2022-12-11,3.79,1,171,40,2021-BFN-0002366
50295713,"University 2BR w/ W/D, nr campus, dining, bars",107434423,Blueground,,University Park,39.67384879999999,-104.9589817,Entire home/apt,144,31,1,2022-06-15,0.15,243,202,1,
50299373,Modern Apartment in Prime Location (ID3320X11),263502162,Landing,,Indian Creek,39.69174,-104.89469,Entire home/apt,130,30,0,,,76,0,0,
50302964,"University 1BR w/ W/D, nr campus, dining, bars",107434423,Blueground,,University Park,39.67384879999999,-104.9589817,Entire home/apt,107,31,0,,,243,205,0,
50936753,"DENVER KING'S SUITE VIEW, GYM, POOL, LOCATION",374244102,Marc,,CBD,39.74775,-104.99589,Entire home/apt,81,30,1,2022-10-24,0.43,7,365,1,
50782268,NoFees 30day+ Dwtn by LightRail w/Yrd|Garage|More!,410417854,Austin,,West Colfax,39.73627,-105.0381,Entire home/apt,180,30,7,2022-09-19,0.44,3,269,4,
50307598,Renovated Victorian home in an awesome location!,45310987,Morgan,,Baker,39.71641,-104.99032,Entire home/apt,389,29,3,2022-08-31,0.19,7,203,2,
50308078,A Denver Skyline State of Mind | Espadín LoHi,401251189,Espadín,,Highland,39.75811,-105.017746,Entire home/apt,99,1,41,2022-12-19,2.32,44,266,29,2021-BFN-0001467
50308768,Victorian Home in Denver’s Hip Highlands Square,404710147,Ronny,,West Highland,39.76371,-105.0297,Entire home/apt,283,2,88,2022-11-26,4.70,1,343,62,2021-BFN-0001997
50790427,Spacious Master Bedroom in Luxury Condo w/ Rooftop,26514357,Bryan,,Jefferson Park,39.7529,-105.02175,Private room,114,1,20,2022-12-12,2.18,1,153,20,2022-BFN-0000573
50792018,Executive Downtown Denver Condo - Amazing Views,34955862,Scott,,Union Station,39.7561,-105.00411,Entire home/apt,128,30,1,2021-10-23,0.07,44,60,0,
50937152,"Modern, 2 Bed/1 Bath Lower Unit on The Front Range",187161157,Martin,,Bear Valley,39.65144,-105.05875,Entire home/apt,75,30,30,2022-10-31,1.71,6,178,3,
50937554,"Modern Townhouse, with Patio near Downtown & RiNo",13291490,Abigail,,Whittier,39.76165,-104.96525,Entire home/apt,152,2,42,2022-10-15,2.77,1,76,30,2021-BFN-0007461
50312049,Close to Mile High and Downtown Denver(5beds),406276035,Cherly,,West Colfax,39.73774,-105.04109,Entire home/apt,179,2,84,2022-12-12,4.50,1,140,51,2021-BFN-0003225
50951888,Gorgeous  Modern 2bd/2ba in Heart of Sunny Side,4632354,Crystal,,Sunnyside,39.77271,-105.01709,Entire home/apt,225,29,34,2022-09-20,2.39,2,251,28,2021-BFN-0004543
50972434,Cheerful downtown micro-studio w/attached garage,120363173,Angel & Kevin,,Sloan Lake,39.74764,-105.02907,Private room,44,1,49,2022-11-02,3.06,4,0,39,2021-BFN-0001385
